img1,img2,dataset,attack_type
/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0113_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0122_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0076_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0256_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0348_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0204_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0070_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_7.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_8.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0058_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0081_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_75.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_76.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0022_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0076_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0176_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0335_03.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0044_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0067_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0068_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0070_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_518.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_519.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_24.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_25.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0036_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0087_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/092809.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/108708.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0184_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0393_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0010_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0116_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_5.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_6.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_97.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_98.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_186.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_187.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/023869.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/024923.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/130980.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/147767.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_102.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_103.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/042909.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/048579.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0209_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0396_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/169016.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/171037.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_184.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_185.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_33.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_34.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Vicente Fox_15.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Vicente Fox_16.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0063_02.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0173_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/106276.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/114398.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0020_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0029_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0147_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0329_02.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0016_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0087_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0011_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0082_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_11.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_12.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0180_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0192_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_37.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_38.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0087_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0120_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0027_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0012_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/154294.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/160665.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_123.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_124.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0013_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0142_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0085_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0094_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/147996.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/154558.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/140510.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/053179.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/118743.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/099140.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0326_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/123512.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/115356.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George Robertson_5.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_4.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/028858.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046666.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_184.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Benjamin Netanyahu_3.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_231.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_232.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/028404.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/040878.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/137393.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/122873.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/112901.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016188.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0454_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0314_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Richard Myers_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Alejandro Toledo_10.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/013264.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/160773.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0180_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0194_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Pierce Brosnan_7.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Alejandro Toledo_12.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0109_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0423_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0151_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000013_0046_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000013_0011_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0204_05.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0113_02.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0130_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Lance Armstrong_8.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_432.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0179_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000013_0045_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0407_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0229_02.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_7.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0107_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0139_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0222_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0239_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_4.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Bob Graham_5.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0047_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0137_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0018_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0104_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Vicente Fox_6.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/150740.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/156799.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0053_02.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0196_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0005_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0031_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_114.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_115.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George Robertson_11.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/David Beckham_29.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_79.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Bob Graham_5.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0272_02.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0314_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_46.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_47.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0153_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0179_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/080883.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/081961.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/John Stockton_2.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Lance Armstrong_1.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_102.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_103.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/002162.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/147218.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Richard Myers_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Richard Myers_15.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/002438.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/004267.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_84.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_85.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0319_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0110_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/020646.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/027514.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Vicente Fox_27.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/David Beckham_23.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_106.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0003_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0028_05.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0219_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0283_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_495.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_496.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0062_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0137_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/057532.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/069523.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0017_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0040_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_481.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_482.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/182430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/018128.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0165_02.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0412_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George Robertson_4.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_3.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Lance Armstrong_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_1.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_55.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_56.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/128161.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/121505.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0130_17.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000015_0225_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/David Beckham_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/David Beckham_10.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Vicente Fox_13.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/David Beckham_29.jpg,lfw_pairs,impersonation_attack
