attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,DECOWA,30,36.666666666666664,0.26234580110758543
ArcFace,GhostFaceNet,DECOWA,30,30.0,0.11972335344180465
ArcFace,IR152,DECOWA,30,10.0,0.19528490550195177
ArcFace,VGG-Face,DECOWA,30,26.666666666666668,0.1421652916818857
Facenet512,ArcFace,DECOWA,30,60.0,0.24486892816300193
Facenet512,GhostFaceNet,DECOWA,30,43.333333333333336,0.14859303245320915
Facenet512,IR152,DECOWA,30,36.666666666666664,0.27100576272544763
Facenet512,VGG-Face,DECOWA,30,60.0,0.2359043236201008
GhostFaceNet,ArcFace,DECOWA,30,26.666666666666668,0.09355700087423127
GhostFaceNet,Facenet512,DECOWA,30,6.666666666666667,0.13881978482628862
GhostFaceNet,IR152,DECOWA,30,0.0,0.10212340556705991
GhostFaceNet,VGG-Face,DECOWA,30,13.333333333333334,0.07193120593825977
VGG-Face,ArcFace,DECOWA,30,63.33333333333333,0.24373159840082131
VGG-Face,Facenet512,DECOWA,30,56.666666666666664,0.46115665342658757
VGG-Face,GhostFaceNet,DECOWA,30,36.666666666666664,0.13295593118915955
VGG-Face,IR152,DECOWA,30,13.333333333333334,0.22507603191770614
